,ID,name,fuel,seller_type,transmission,owner,year,selling_price,km_driven,marca
44,2132,Audi Q7 35 TDI Quattro Premium,Diesel,Dealer,Automatic,Third Owner,2009,€ 1250000,78000,Audi
45,2135,Hyundai Elantra CRDi S,Diesel,Individual,Manual,First Owner,2012,€ 625000,40000,Hyundai
46,2138,Mahindra Scorpio 1.99 S10,Diesel,Individual,Manual,First Owner,2014,€ 1050000,50000,Mahindra
47,2141,Honda City i DTEC V,Diesel,Individual,Manual,Second Owner,2014,€ 560000,74000,Honda
48,2144,Maruti Wagon R VXI BS IV with ABS,Petrol,Individual,Manual,Second Owner,2014,€ 290000,64000,Maruti
49,2147,Maruti Wagon R VXI BS IV,Petrol,Individual,Manual,Second Owner,2012,€ 275000,60000,Maruti
50,2150,Mahindra Scorpio LX,Diesel,Individual,Manual,Second Owner,2009,€ 411000,120000,Mahindra
51,2153,Hyundai Santro Xing GLS,Petrol,Individual,Manual,Third Owner,2009,€ 150000,79000,Hyundai
52,2156,Hyundai Grand i10 1.2 Kappa Asta,Petrol,Individual,Manual,First Owner,2019,€ 500000,15000,Hyundai
53,2159,Maruti Alto LXi,Petrol,Individual,Manual,First Owner,2006,€ 100000,80000,Maruti
54,2162,Maruti Swift Dzire VDI Optional,Diesel,Dealer,Manual,First Owner,2017,€ 725000,18500,Maruti
55,2165,Maruti Eeco 5 Seater AC BSIV,Petrol,Dealer,Manual,First Owner,2018,€ 401000,10200,Maruti
56,2168,Hyundai i20 Sportz 1.4 CRDi,Diesel,Dealer,Manual,First Owner,2018,€ 750000,29000,Hyundai
57,2171,Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,Petrol,Dealer,Manual,First Owner,2018,€ 310000,28000,Maruti
58,2174,Maruti Swift ZDi BSIV,Diesel,Dealer,Manual,First Owner,2016,€ 665000,46000,Maruti
59,2177,Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,Diesel,Dealer,Manual,First Owner,2014,€ 465000,70000,Hyundai
60,2180,Maruti Alto LXi,Petrol,Individual,Manual,Second Owner,2012,€ 160000,60000,Maruti
61,2183,Mahindra Jeep CL 500 MDI,Diesel,Individual,Manual,Second Owner,1996,€ 250000,35000,Mahindra
62,2186,Honda City i DTEC VX,Diesel,Dealer,Manual,First Owner,2014,€ 675000,90000,Honda
63,2189,Maruti Wagon R VXI BS IV,Petrol,Dealer,Manual,First Owner,2013,€ 300000,80000,Maruti
64,2192,Tata Indica DLS,Diesel,Individual,Manual,First Owner,2005,€ 70000,80000,Tata
65,2195,Hyundai EON Magna Plus,Petrol,Dealer,Manual,Second Owner,2014,€ 240000,73300,Hyundai
66,2198,Toyota Etios GD,Diesel,Dealer,Manual,First Owner,2014,€ 525000,92000,Toyota
67,2201,Maruti Alto LXi,Petrol,Dealer,Manual,Second Owner,2009,€ 151000,66764,Maruti
68,2204,Maruti Alto LXi,Petrol,Individual,Manual,First Owner,2009,€ 140000,100000,Maruti
69,2207,Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,Diesel,Individual,Manual,Second Owner,2010,€ 280000,350000,Chevrolet
70,2210,Toyota Corolla Altis Diesel D4DG,Diesel,Individual,Manual,First Owner,2011,€ 350000,230000,Toyota
71,2213,Mahindra Scorpio 1.99 S6 Plus,Diesel,Individual,Manual,First Owner,2017,€ 570000,60000,Mahindra
72,2216,Hyundai EON Magna Plus,Petrol,Individual,Manual,First Owner,2018,€ 300000,31000,Hyundai
73,2219,Tata Indigo Classic Dicor,Diesel,Individual,Manual,First Owner,2007,€ 100000,39000,Tata
74,2222,Toyota Innova 2.5 V Diesel 8-seater,Diesel,Individual,Manual,Third Owner,2009,€ 500000,120000,Toyota
75,2225,Tata Indica Vista Quadrajet LS,Diesel,Individual,Manual,Fourth & Above Owner,2014,€ 125000,166000,Tata
76,2228,Maruti Swift 1.3 VXi,Petrol,Individual,Manual,Third Owner,2006,€ 130000,110000,Maruti
77,2231,Ford EcoSport 1.5 Diesel Titanium BSIV,Diesel,Individual,Manual,First Owner,2017,€ 925000,35000,Ford
78,2234,Maruti Ciaz 1.3 Delta,Diesel,Individual,Manual,First Owner,2018,€ 750000,60000,Maruti
79,2237,Honda Civic 1.8 V AT,Petrol,Individual,Automatic,Second Owner,2007,€ 200000,54000,Honda
80,2240,Hyundai i10 Sportz 1.2,Petrol,Individual,Manual,Second Owner,2010,€ 248000,63000,Hyundai
81,2243,Skoda Rapid 1.5 TDI Elegance,Diesel,Individual,Manual,Second Owner,2014,€ 450000,120000,Skoda
82,2246,Hyundai Getz GLS,Petrol,Individual,Manual,Third Owner,2005,€ 80000,120000,Hyundai
83,2249,Nissan Terrano XL,Petrol,Individual,Manual,Second Owner,2014,€ 650000,76000,Nissan
84,2252,Hyundai Grand i10 CRDi Sportz,Diesel,Individual,Manual,First Owner,2015,€ 450000,80000,Hyundai
85,2255,Hyundai Elite i20 Diesel Era,Diesel,Individual,Manual,First Owner,2019,€ 650000,25000,Hyundai
86,2258,Honda Amaze S i-VTEC,Petrol,Dealer,Manual,First Owner,2016,€ 495000,11958,Honda
87,2261,Honda Brio S MT,Petrol,Dealer,Manual,First Owner,2015,€ 536675,20000,Honda
88,2264,Hyundai Creta 1.6 SX Option,Petrol,Dealer,Manual,First Owner,2017,€ 1025000,9000,Hyundai
89,2267,Mercedes-Benz S-Class S 350d Connoisseurs Edition,Diesel,Dealer,Automatic,First Owner,2017,€ 8150000,6500,Mercedes-Benz
90,2270,Mahindra XUV500 W8 2WD,Diesel,Individual,Manual,First Owner,2015,€ 750000,70000,Mahindra
91,2273,Renault Duster 85PS Diesel RxL Optional,Diesel,Individual,Manual,First Owner,2013,€ 600000,120000,Renault
92,2276,Hyundai Santro Xing XO,Petrol,Dealer,Manual,Second Owner,2007,€ 80000,58000,Hyundai
93,2279,Mahindra Bolero 2011-2019 SLE,Diesel,Dealer,Manual,First Owner,2013,€ 325000,62200,Mahindra
94,2282,Audi A6 2.0 TDI Premium Plus,Diesel,Dealer,Automatic,Second Owner,2014,€ 1470000,34000,Audi
95,2285,Fiat Avventura MULTIJET Emotion,Diesel,Individual,Manual,Second Owner,2015,€ 350000,53000,Fiat
96,2288,Audi A8 4.2 TDI,Diesel,Dealer,Automatic,First Owner,2013,€ 2800000,49000,Audi
97,2291,Datsun RediGO 1.0 S,Petrol,Dealer,Manual,Second Owner,2017,€ 210000,15000,Datsun
98,2294,Volkswagen Jetta 1.4 TSI Comfortline,Petrol,Individual,Manual,First Owner,2013,€ 450000,50000,Volkswagen
99,2297,Audi A4 2.0 TDI 177 Bhp Premium Plus,Diesel,Dealer,Automatic,First Owner,2013,€ 1150000,53000,Audi
100,2300,Honda Civic 1.8 V AT,Petrol,Dealer,Automatic,First Owner,2009,€ 210000,63500,Honda
101,2303,Mercedes-Benz E-Class Exclusive E 200 BSIV,Petrol,Dealer,Automatic,First Owner,2018,€ 4500000,9800,Mercedes-Benz
102,2306,BMW X1 sDrive 20d xLine,Diesel,Individual,Automatic,First Owner,2017,€ 2750000,13000,BMW
103,2309,Volvo V40 D3 R Design,Diesel,Dealer,Automatic,First Owner,2018,€ 1975000,21000,Volvo
104,2312,Maruti SX4 Zxi BSIII,Petrol,Dealer,Manual,First Owner,2008,€ 175000,29173,Maruti
105,2315,BMW 7 Series 730Ld,Diesel,Dealer,Automatic,First Owner,2012,€ 2500000,48000,BMW
106,2318,Mahindra Bolero Power Plus SLX,Diesel,Individual,Manual,First Owner,2017,€ 628000,120000,Mahindra
107,2321,Hyundai Sonata CRDi M/T,Diesel,Individual,Manual,First Owner,2010,€ 600000,100000,Hyundai
108,2324,Nissan Micra Active XV Petrol,Petrol,Individual,Manual,First Owner,2017,€ 399000,30000,Nissan
109,2327,Mahindra Xylo D4,Diesel,Individual,Manual,First Owner,2018,€ 750000,87000,Mahindra
110,2330,Hyundai Elite i20 Sportz Plus Dual Tone BSIV,Petrol,Individual,Manual,First Owner,2019,€ 750000,15000,Hyundai
111,2333,Renault KWID RXT,Petrol,Individual,Manual,First Owner,2017,€ 315000,16000,Renault
112,2336,Mahindra Xylo E4 BS III,Diesel,Individual,Manual,First Owner,2012,€ 600000,60000,Mahindra
113,2339,Maruti Wagon R LXI Minor,Petrol,Individual,Manual,Fourth & Above Owner,2010,€ 100000,60000,Maruti
114,2342,Maruti SX4 ZXI MT BSIV,Petrol,Individual,Manual,Third Owner,2011,€ 250000,110000,Maruti
115,2345,Renault KWID RXT,Petrol,Individual,Manual,First Owner,2017,€ 350000,25000,Renault
116,2348,Hyundai Creta 1.4 CRDi S,Diesel,Individual,Manual,First Owner,2016,€ 780000,60000,Hyundai
117,2351,Maruti Swift Dzire VDI,Diesel,Individual,Manual,Second Owner,2014,€ 434000,79350,Maruti
118,2354,Hyundai Verna 1.6 VTVT AT S Option,Petrol,Individual,Automatic,First Owner,2016,€ 690000,80000,Hyundai
119,2357,Mahindra Scorpio LX BSIV,Diesel,Individual,Manual,Second Owner,2014,€ 555000,90000,Mahindra
120,2360,Maruti SX4 Vxi BSIII,Petrol,Individual,Manual,Second Owner,2007,€ 120000,90000,Maruti
121,2363,Maruti Ertiga VDI,Diesel,Individual,Manual,Second Owner,2014,€ 500000,120000,Maruti
122,2366,Chevrolet Beat Diesel,Diesel,Individual,Manual,Second Owner,2013,€ 165000,60000,Chevrolet
123,2369,Maruti Zen LX,Petrol,Individual,Manual,First Owner,2004,€ 95000,50000,Maruti
124,2372,Maruti Baleno Delta 1.2,Petrol,Individual,Manual,First Owner,2018,€ 550000,20000,Maruti
125,2375,Maruti Swift Vdi BSIII,Diesel,Individual,Manual,Fourth & Above Owner,2007,€ 100000,110000,Maruti
126,2378,Tata Nano Lx BSIV,Petrol,Individual,Manual,Second Owner,2012,€ 100000,50000,Tata
127,2381,Toyota Innova 2.5 GX (Diesel) 8 Seater,Diesel,Individual,Manual,First Owner,2012,€ 921932,100000,Toyota
128,2384,Maruti Ertiga SHVS VDI,Diesel,Individual,Manual,Second Owner,2016,€ 800000,70000,Maruti
129,2387,Hyundai Creta 1.6 CRDi SX,Diesel,Individual,Manual,Second Owner,2016,€ 840000,70000,Hyundai
130,2390,Honda Amaze S i-Vtech,Petrol,Individual,Manual,First Owner,2016,€ 490000,50000,Honda
131,2393,Tata Indica Vista Aqua 1.4 TDI,Diesel,Individual,Manual,Second Owner,2010,€ 125000,81000,Tata
132,2396,Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,Diesel,Individual,Manual,Third Owner,2012,€ 400000,120000,Chevrolet
133,2399,Chevrolet Cruze LTZ,Diesel,Dealer,Manual,First Owner,2015,€ 1000000,3600,Chevrolet
134,2402,Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,Petrol,Dealer,Manual,First Owner,2015,€ 530000,14272,Ford
135,2405,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,Diesel,Dealer,Manual,First Owner,2017,€ 840000,49213,Ford
136,2408,Hyundai i10 Sportz 1.1L,Petrol,Individual,Manual,First Owner,2015,€ 229999,40000,Hyundai
137,2411,Maruti 800 Std,Petrol,Individual,Manual,Fourth & Above Owner,1998,€ 40000,40000,Maruti
138,2414,Chevrolet Spark 1.0 LS,Petrol,Individual,Manual,First Owner,2012,€ 130000,80000,Chevrolet
139,2417,Hyundai EON Era Plus,Petrol,Individual,Manual,First Owner,2015,€ 200000,70000,Hyundai
140,2420,Tata Indica Vista Aqua TDI BSIII,Diesel,Individual,Manual,First Owner,2011,€ 120000,70000,Tata
141,2423,Hyundai Santro LP zipPlus,Petrol,Individual,Manual,First Owner,2003,€ 75000,57000,Hyundai
142,2426,Tata Bolt Quadrajet XE,Diesel,Individual,Manual,First Owner,2016,€ 250000,120000,Tata
143,2429,Maruti 800 AC BSIII,Petrol,Individual,Manual,First Owner,2005,€ 100000,30000,Maruti
144,2432,Hyundai EON Era Plus,Petrol,Individual,Manual,Second Owner,2013,€ 280000,3240,Hyundai
145,2435,Hyundai i20 Magna 1.2,Petrol,Individual,Manual,First Owner,2015,€ 540000,5000,Hyundai
146,2438,Hyundai i20 1.2 Asta,Petrol,Individual,Manual,First Owner,2018,€ 700000,10000,Hyundai
147,2441,Maruti Ciaz VDi Plus,Diesel,Individual,Manual,First Owner,2015,€ 525000,100000,Maruti
148,2444,Hyundai i20 Asta 1.4 CRDi,Diesel,Individual,Manual,First Owner,2016,€ 430000,80000,Hyundai
149,2447,Hyundai Santro LE,Petrol,Individual,Manual,First Owner,2002,€ 65000,70000,Hyundai
150,2450,Maruti Vitara Brezza VDi,Diesel,Individual,Manual,First Owner,2018,€ 800000,35000,Maruti
151,2453,Hyundai Santro Xing XL eRLX Euro III,Petrol,Individual,Manual,Second Owner,2007,€ 75000,114000,Hyundai
152,2456,Hyundai Getz 1.3 GLS,Petrol,Individual,Manual,First Owner,2008,€ 210000,53772,Hyundai
153,2459,Mahindra Quanto C8,Diesel,Individual,Manual,Second Owner,2012,€ 195000,140000,Mahindra
154,2462,Chevrolet Tavera Neo 3 LS 7 C BSIII,Diesel,Individual,Manual,First Owner,2015,€ 400000,120000,Chevrolet
155,2465,Hyundai EON Magna Plus,Petrol,Individual,Manual,First Owner,2012,€ 170000,60000,Hyundai
156,2468,Renault KWID RXT,Petrol,Individual,Manual,First Owner,2016,€ 225000,25000,Renault
157,2471,Maruti Wagon R DUO LPG,LPG,Individual,Manual,First Owner,2014,€ 210000,90000,Maruti
158,2474,Maruti Wagon R LXI,Petrol,Individual,Manual,First Owner,2020,€ 240000,120000,Maruti
159,2477,Chevrolet Enjoy 1.3 TCDi LS 8,Diesel,Individual,Manual,First Owner,2015,€ 300000,175000,Chevrolet
160,2480,Chevrolet Spark 1.0 LS,Petrol,Individual,Manual,Third Owner,2011,€ 99000,100000,Chevrolet
161,2483,Honda City i VTEC SV,Petrol,Individual,Manual,First Owner,2014,€ 620000,36000,Honda
162,2486,Honda Amaze VX i-DTEC,Diesel,Individual,Manual,First Owner,2013,€ 500000,30000,Honda
163,2489,Jaguar XJ 5.0 L V8 Supercharged,Petrol,Individual,Automatic,Second Owner,2010,€ 2550000,40000,Jaguar
164,2492,Honda Brio E MT,Petrol,Individual,Manual,Second Owner,2013,€ 260000,70000,Honda
165,2495,Maruti Swift VVT ZXI,Petrol,Individual,Manual,First Owner,2017,€ 550000,60000,Maruti
166,2498,Tata Indigo CR4,Diesel,Individual,Manual,First Owner,2011,€ 150000,155500,Tata
167,2501,Hyundai i10 Asta AT,Petrol,Individual,Automatic,Second Owner,2011,€ 350000,50000,Hyundai
168,2504,Chevrolet Beat LT,Petrol,Individual,Manual,First Owner,2016,€ 320000,40000,Chevrolet
169,2507,Maruti Swift VDI BSIV,Diesel,Individual,Manual,Third Owner,2015,€ 400000,100000,Maruti
170,2510,Maruti Alto LXi,Petrol,Individual,Manual,Third Owner,2012,€ 175000,80000,Maruti
171,2513,Chevrolet Beat LT,Petrol,Individual,Manual,Second Owner,2011,€ 120000,90000,Chevrolet
172,2516,Renault Duster 110PS Diesel RxZ,Diesel,Individual,Manual,Second Owner,2013,€ 320000,90000,Renault
173,2519,Hyundai Santro Xing XG,Petrol,Individual,Manual,Third Owner,2006,€ 70000,110000,Hyundai
174,2522,Maruti Swift Dzire ZXI Plus,Petrol,Individual,Manual,First Owner,2019,€ 810000,15000,Maruti
175,2525,Maruti 800 AC,Petrol,Individual,Manual,Second Owner,2007,€ 95000,100000,Maruti
176,2528,Maruti Alto K10 LXI CNG,CNG,Individual,Manual,First Owner,2020,€ 282000,40000,Maruti
177,2531,Maruti 800 Std BSII,Petrol,Individual,Manual,Second Owner,2004,€ 80000,60000,Maruti
178,2534,Tata Nano LX SE,Petrol,Individual,Manual,First Owner,2013,€ 72000,25000,Tata
179,2537,Hyundai i20 Magna 1.2,Petrol,Individual,Manual,First Owner,2016,€ 600000,25000,Hyundai
180,2540,Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,Petrol,Individual,Manual,First Owner,2015,€ 640000,23000,Skoda
181,2543,Maruti Alto K10 VXI,Petrol,Individual,Manual,First Owner,2018,€ 380000,22155,Maruti
182,2546,Maruti Ciaz 1.4 Delta,Petrol,Individual,Manual,First Owner,2018,€ 650000,70000,Maruti
183,2549,Maruti Alto LX,Petrol,Individual,Manual,Second Owner,2009,€ 150000,60000,Maruti
184,2552,Hyundai i20 Asta,Petrol,Individual,Manual,Second Owner,2009,€ 280000,110000,Hyundai
185,2555,Tata Nexon 1.2 Revotron XM,Petrol,Individual,Manual,First Owner,2018,€ 430000,30000,Tata
186,2558,Mahindra Bolero Power Plus SLX,Diesel,Individual,Manual,First Owner,2019,€ 800000,15000,Mahindra
187,2561,Maruti Zen D,Diesel,Individual,Manual,Second Owner,2003,€ 75000,100000,Maruti
188,2564,Volkswagen Vento Celeste 1.5 TDI Highline AT,Diesel,Individual,Automatic,First Owner,2016,€ 650000,70000,Volkswagen
189,2567,Maruti Eeco 7 Seater Standard BSIV,Petrol,Individual,Manual,First Owner,2017,€ 390000,24000,Maruti
190,2570,Honda City 1.5 EXI,Petrol,Individual,Manual,Second Owner,2005,€ 100000,120000,Honda
191,2573,Mercedes-Benz New C-Class 220 CDI AT,Diesel,Individual,Automatic,First Owner,2013,€ 1500000,35000,Mercedes-Benz
192,2576,Maruti SX4 Zxi with Leather BSIII,Petrol,Individual,Manual,First Owner,2007,€ 175000,78380,Maruti
193,2579,Renault Duster 110PS Diesel RxZ,Diesel,Individual,Manual,Second Owner,2012,€ 434999,110000,Renault
194,2582,Ford Figo Diesel Titanium,Diesel,Individual,Manual,Third Owner,2010,€ 170000,90000,Ford
195,2585,Ford Figo Diesel Titanium,Diesel,Individual,Manual,Third Owner,2011,€ 190000,90000,Ford
196,2588,Maruti Swift Dzire VDi,Diesel,Individual,Manual,Third Owner,2009,€ 250000,150000,Maruti
197,2591,Mahindra Xylo E4,Diesel,Individual,Manual,Third Owner,2009,€ 229999,230000,Mahindra
198,2594,Maruti Esteem Vxi - BSIII,Petrol,Individual,Manual,Third Owner,2006,€ 140000,70000,Maruti
199,2597,Maruti Swift VDI BSIV,Diesel,Individual,Manual,First Owner,2017,€ 600000,80362,Maruti
200,2600,Hyundai i20 1.2 Sportz,Petrol,Individual,Manual,Third Owner,2012,€ 280000,110000,Hyundai
201,2603,Chevrolet Beat Diesel LT,Diesel,Individual,Manual,First Owner,2012,€ 150000,60000,Chevrolet
202,2606,Chevrolet Cruze LTZ AT,Diesel,Individual,Automatic,First Owner,2015,€ 650000,50000,Chevrolet
203,2609,Nissan Micra XL,Petrol,Individual,Manual,Second Owner,2014,€ 210000,40000,Nissan
204,2612,BMW 5 Series 520d Luxury Line,Diesel,Individual,Automatic,First Owner,2017,€ 2900000,40000,BMW
205,2615,Chevrolet Enjoy 1.3 TCDi LS 8,Diesel,Dealer,Manual,First Owner,2013,€ 425000,20000,Chevrolet
206,2618,Hyundai EON Era Plus Option,Petrol,Dealer,Manual,First Owner,2014,€ 265000,55000,Hyundai
207,2621,Fiat Linea T Jet Emotion,Petrol,Dealer,Manual,First Owner,2018,€ 890000,1136,Fiat
208,2624,Renault Scala RxL,Petrol,Dealer,Manual,First Owner,2013,€ 365000,55000,Renault
209,2627,Ford Figo Petrol Titanium,Petrol,Dealer,Manual,First Owner,2014,€ 350000,43000,Ford
210,2630,Maruti Ciaz ZDi SHVS,Diesel,Individual,Manual,First Owner,2016,€ 685000,60000,Maruti
211,2633,Skoda Rapid 1.5 TDI Ambition BSIV,Diesel,Dealer,Manual,First Owner,2018,€ 940000,2650,Skoda
212,2636,Mahindra XUV500 W6 2WD,Diesel,Individual,Manual,First Owner,2017,€ 1000000,40000,Mahindra
213,2639,Mahindra XUV300 W8 Option,Petrol,Dealer,Manual,First Owner,2019,€ 1150000,15000,Mahindra
214,2642,Maruti Ertiga SHVS ZDI,Diesel,Individual,Manual,Second Owner,2016,€ 450000,115962,Maruti
215,2645,Nissan Terrano XE D,Diesel,Dealer,Manual,First Owner,2015,€ 590000,65000,Nissan
216,2648,Maruti S-Cross Facelift,Diesel,Individual,Manual,First Owner,2017,€ 800000,40000,Maruti
217,2651,Hyundai i20 Magna 1.4 CRDi (Diesel),Diesel,Dealer,Manual,First Owner,2012,€ 385000,58000,Hyundai
218,2654,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Diesel,Individual,Automatic,First Owner,2013,€ 2000000,15000,Mercedes-Benz
219,2657,Hyundai EON Era Plus,Petrol,Dealer,Manual,First Owner,2012,€ 235000,54000,Hyundai
220,2660,Volkswagen Ameo 1.5 TDI Highline,Diesel,Dealer,Manual,First Owner,2017,€ 640000,56000,Volkswagen
221,2663,Maruti Alto LX,Petrol,Individual,Manual,Third Owner,2006,€ 52000,120000,Maruti
222,2666,Maruti Omni LPG CARGO BSIII W IMMOBILISER,LPG,Individual,Manual,Second Owner,2009,€ 80000,90000,Maruti
223,2669,Maruti Alto LX,Petrol,Individual,Manual,Second Owner,2012,€ 140000,70000,Maruti
224,2672,Hyundai Verna i (Petrol),Petrol,Individual,Manual,Second Owner,2008,€ 120000,90000,Hyundai
225,2675,Mahindra Renault Logan 1.5 DLS,Diesel,Individual,Manual,First Owner,2008,€ 89999,213000,Mahindra
226,2678,Chevrolet Optra Magnum 2.0 LS BSIII,Diesel,Individual,Manual,First Owner,2012,€ 180000,120000,Chevrolet
227,2681,Mahindra Scorpio S11 BSIV,Diesel,Individual,Manual,First Owner,2017,€ 1500000,20000,Mahindra
228,2684,Hyundai i20 Active 1.2 SX,Petrol,Individual,Manual,First Owner,2017,€ 700000,10000,Hyundai
229,2687,Maruti SX4 Celebration Diesel,Diesel,Individual,Manual,Second Owner,2012,€ 285000,80000,Maruti
230,2690,Hyundai Grand i10 Magna,Petrol,Individual,Manual,First Owner,2015,€ 390000,90000,Hyundai
231,2693,Maruti Alto LXi BSIII,Petrol,Individual,Manual,First Owner,2008,€ 125000,80000,Maruti
232,2696,Maruti SX4 Zxi with Leather BSIII,Petrol,Individual,Manual,Second Owner,2008,€ 225000,60000,Maruti
233,2699,Hyundai i10 Era,Petrol,Individual,Manual,Second Owner,2011,€ 175000,139000,Hyundai
234,2702,Toyota Innova 2.5 V Diesel 7-seater,Diesel,Individual,Manual,Second Owner,2011,€ 1075000,160000,Toyota
235,2705,Honda Mobilio V i DTEC,Diesel,Individual,Manual,First Owner,2014,€ 300000,150000,Honda
236,2708,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Diesel,Individual,Manual,Fourth & Above Owner,2010,€ 700000,163000,Toyota
