ID,name,year,selling_price,km_driven
2699,Hyundai i10 Era,2011,€ 175000,139000
2702,Toyota Innova 2.5 V Diesel 7-seater,2011,€ 1075000,160000
2705,Honda Mobilio V i DTEC,2014,€ 300000,150000
2708,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2010,€ 700000,163000
2711,Tata Indica V2 2001-2011 DLS BSIII,2009,€ 90000,120000
2714,Tata Indica Vista TDI LS,2011,€ 120000,120000
2717,Chevrolet Beat Diesel LS,2012,€ 220000,100000
2720,Tata Zest Quadrajet 1.3 75PS XE,2015,€ 300000,140000
2723,Skoda Fabia 1.2L Diesel Ambiente,2010,€ 180000,87000
2726,Maruti 800 Std,2013,€ 170000,70000
2729,Ford Figo Petrol Titanium,2015,€ 300000,50000
2732,Toyota Innova 2.5 VX (Diesel) 8 Seater,2014,€ 1050000,70000
2735,Honda Mobilio V i DTEC,2014,€ 300000,150000
2738,Hyundai Grand i10 1.2 CRDi Asta,2018,€ 465000,25000
2741,Chevrolet Beat Diesel LT,2011,€ 130000,80000
2744,Datsun GO Plus T Option Petrol,2018,€ 434999,10000
2747,Hyundai Grand i10 1.2 Kappa Asta,2018,€ 500000,32000
2750,Maruti Omni MPI STD BSIV,2018,€ 200000,10000
2753,Maruti Baleno Alpha 1.2,2017,€ 625000,52000
2756,Ford Fiesta Classic 1.4 SXI Duratorq,2006,€ 110000,120000
2759,Hyundai Elite i20 Asta Option BSIV,2019,€ 800000,11240
2762,Hyundai Grand i10 CRDi Magna,2017,€ 490000,66000
2765,Maruti Ertiga SHVS ZDI,2017,€ 880000,64000
2768,Hyundai Santro Xing GL Plus,2013,€ 290000,49000
2771,Tata Sumo GX TC 7 Str BSIII,2006,€ 115999,100000
2774,Renault KWID RXT,2018,€ 360000,26500
2777,Maruti 800 AC,2002,€ 65000,100000
2780,Maruti Vitara Brezza LDi Option,2017,€ 685000,72000
2783,Honda Jazz S,2009,€ 300000,50000
2786,Hyundai i20 1.4 Sportz,2017,€ 680000,44000
2789,Maruti Ertiga SHVS ZDI Plus,2017,€ 1000000,60000
2792,Tata Sumo SE Plus BSIII,2002,€ 100000,120000
2795,Mahindra Xylo E4,2010,€ 160000,130000
2798,Maruti Swift ZDi BSIV,2017,€ 450000,70000
2801,Maruti Ertiga VXI,2014,€ 600000,20000
2804,Hyundai i20 1.4 Magna ABS,2009,€ 180000,60000
2807,Maruti Alto LXi,2007,€ 100000,195000
2810,Maruti Alto LXi,2010,€ 120000,90000
2813,Hyundai Getz GL,2006,€ 130000,80000
2816,Maruti Wagon R LX BS IV,2011,€ 160000,155000
2819,Mahindra Bolero Power Plus SLX,2019,€ 860000,35000
2822,Hyundai i20 1.2 Spotz,2018,€ 650000,20000
2825,Maruti Wagon R LXI Minor,2010,€ 100000,80000
2828,Maruti Alto 800 VXI,2017,€ 282000,20000
2831,Hyundai i20 Asta (o),2009,€ 300000,50000
2834,Hyundai i20 Asta,2010,€ 270000,110000
2837,Hyundai Verna 1.6 SX CRDi (O),2013,€ 550000,29000
2840,Mahindra Xylo D2 BSIV,2013,€ 450000,120000
2843,Mahindra Bolero SLX 2WD BSIII,2011,€ 430000,70000
2846,Maruti Ertiga VXI ABS,2013,€ 350000,40000
2849,Honda Brio 1.2 E MT,2017,€ 350000,20000
2852,Toyota Etios Liva G,2013,€ 229999,50000
2855,Maruti Alto 800 LXI,2013,€ 110000,50000
2858,Maruti Swift Dzire 1.2 Vxi BSIV,2012,€ 395000,49000
2861,Mahindra Scorpio VLS AT 2.2 mHAWK,2011,€ 650000,70000
2864,Mahindra Bolero SLX,2011,€ 350000,90000
2867,Mahindra XUV500 W11 Option AWD,2020,€ 1400000,25000
2870,Tata Tiago 1.2 Revotron XZ,2018,€ 360000,4000
2873,Mahindra Marazzo M8 8Str,2018,€ 1300000,10000
2876,Renault Duster 110PS Diesel RxL,2015,€ 800000,15000
2879,Hyundai EON Magna Plus,2018,€ 229999,30000
2882,Maruti Wagon R VXI,2014,€ 315000,41000
2885,Chevrolet Spark 1.0 LT,2012,€ 125000,28000
2888,Maruti Baleno Alpha,2019,€ 700000,16000
2891,Hyundai EON 1.0 Kappa Magna Plus,2015,€ 160000,70000
2894,Ford Figo Aspire 1.2 Ti-VCT Trend,2017,€ 530000,10832
2897,Ford Figo Aspire Facelift,2018,€ 624000,14681
2900,Hyundai i10 Era,2009,€ 250000,50000
2903,Mahindra Bolero SLX,2016,€ 585000,51000
2906,Hyundai Verna 1.4 VTVT,2015,€ 500000,25000
2909,Chevrolet Sail 1.2 LT ABS,2014,€ 350000,30000
2912,Honda City i-DTEC SV,2014,€ 495000,80000
2915,Hyundai Grand i10 1.2 Kappa Asta,2017,€ 500000,50000
2918,Mahindra Bolero Power Plus Plus AC BSIV PS,2015,€ 430000,200000
2921,Hyundai Grand i10 1.2 Kappa Sportz Option,2013,€ 345000,44000
2924,Maruti Baleno Sigma 1.2,2015,€ 500000,10000
2927,Tata Tiago 1.2 Revotron XZ,2019,€ 425000,19600
2930,Maruti Wagon R LXI,2005,€ 80000,40000
2933,Chevrolet Beat Diesel LS,2011,€ 106000,50000
2936,Maruti A-Star Vxi,2009,€ 180000,46730
2939,Datsun GO A,2015,€ 250000,40000
2942,Skoda Yeti Ambition 4WD,2011,€ 350000,80000
2945,Maruti Zen LXi BSII,2002,€ 60000,80000
2948,Hyundai Verna CRDi 1.6 EX,2018,€ 900000,24000
2951,Ford Aspire Titanium Diesel BSIV,2017,€ 700000,21170
2954,BMW 3 Series 320d Sport,2013,€ 2000000,167223
2957,Maruti Ertiga SHVS ZDI Plus,2017,€ 1000000,40000
2960,BMW X1 sDrive 20d Exclusive,2011,€ 1375000,60000
2963,Toyota Innova Crysta 2.4 VX MT,2016,€ 1800000,141440
2966,Chevrolet Tavera Neo 3 10 Seats BSIV,2007,€ 160000,120000
2969,Mitsubishi Outlander 2.4,2012,€ 525000,140000
2972,Mahindra XUV500 W8 2WD,2012,€ 850000,212814
2975,Maruti Baleno Alpha 1.3,2019,€ 800000,30000
2978,Ford Figo Aspire 1.5 TDCi Titanium,2017,€ 700000,88635
2981,Maruti Swift Dzire VDI,2018,€ 800000,25000
2984,Hyundai i20 1.2 Spotz,2017,€ 575000,20000
2987,Renault Duster 110PS Diesel RxZ,2012,€ 350000,110000
2990,Maruti Swift Vdi BSIII,2008,€ 250000,120000
2993,Ford Endeavour Titanium 4X2,2011,€ 600000,149674
2996,Mahindra Scorpio 2.6 Turbo 9 Str,2007,€ 370000,100000
2999,Maruti Baleno Vxi,2006,€ 80000,120000
3002,Tata Indica DLX,2003,€ 50000,120000
3005,Hyundai Verna CRDi 1.6 EX,2018,€ 900000,25000
3008,Maruti Wagon R VXI BS IV,2014,€ 300000,35000
3011,Tata Indica LSI,2002,€ 125000,40000
3014,Maruti Swift Dzire VDI,2015,€ 490000,60000
3017,Toyota Etios Liva GD,2012,€ 300000,50000
3020,Tata Nano STD,2013,€ 55000,25000
3023,Hyundai Grand i10 Sportz,2016,€ 350000,25000
3026,Hyundai Grand i10 1.2 CRDi Asta,2019,€ 755000,8000
3029,Maruti Ertiga SHVS VDI,2017,€ 720000,60000
3032,Mahindra Bolero SLX,2006,€ 229999,200000
3035,Mahindra Scorpio S7 140 BSIV,2018,€ 1100000,20000
3038,Volkswagen Polo Petrol Comfortline 1.2L,2013,€ 400000,100000
3041,Hyundai Xcent 1.1 CRDi Base,2015,€ 350000,70000
3044,Chevrolet Beat Diesel PS,2012,€ 159000,68000
3047,Maruti Swift ZXi BSIV,2017,€ 550000,38000
3050,Maruti Ritz VDi,2013,€ 335000,80000
3053,Tata Indigo CS Emax CNG GLX,2014,€ 185000,72000
3056,Maruti Eeco 5 STR With AC Plus HTR CNG,2012,€ 229999,75000
3059,Maruti Estilo LXI,2014,€ 225000,43000
3062,Maruti Swift VXI with ABS,2007,€ 250000,120000
3065,Tata Zest Quadrajet 1.3 XM,2015,€ 400000,100000
3068,Maruti Swift VDI BSIV,2014,€ 470000,163000
3071,Maruti Alto K10 VXI AGS Optional,2018,€ 300000,25000
3074,Maruti Alto LX,2011,€ 145000,25000
3077,Maruti SX4 Vxi BSIII,2007,€ 100000,90000
3080,Mahindra Scorpio SLE BSIV,2014,€ 500000,70000
3083,Hyundai Santro Xing GLS CNG,2010,€ 130000,98000
3086,Chevrolet Cruze LTZ,2010,€ 240000,81925
3089,Ford Figo Diesel Celebration Edition,2013,€ 150000,80000
3092,Renault KWID RXT Optional,2017,€ 270000,40000
3095,Maruti Swift Dzire VDI,2014,€ 400000,90000
3098,Hyundai EON Era Plus,2012,€ 200000,46000
3101,Mahindra XUV500 W6 2WD,2012,€ 550000,80000
3104,Renault KWID 1.0 RXT Optional,2018,€ 325000,35000
3107,Skoda Rapid 1.5 TDI AT Style BSIV,2017,€ 860000,82080
3110,Mahindra XUV500 W8 2WD,2012,€ 600000,200000
3113,Chevrolet Spark 1.0,2009,€ 125000,70000
3116,Maruti 800 AC,2000,€ 60000,40000
3119,Chevrolet Tavera Neo 3 10 Seats BSIV,2010,€ 300000,120000
3122,Ford Fiesta 1.6 ZXi Duratec,2007,€ 190000,60000
3125,Maruti Ertiga VDI,2013,€ 400000,110000
3128,Tata Manza Aura Quadrajet BS IV,2011,€ 260000,97000
3131,Maruti Swift VVT VXI,2017,€ 400000,30000
3134,Hyundai i20 Sportz Petrol,2010,€ 250000,40000
3137,Hyundai Grand i10 1.2 Kappa Asta,2019,€ 600000,10000
3140,Maruti Zen Estilo VXI BSIV,2010,€ 175000,52047
3143,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2011,€ 450000,200000
3146,Tata Tiago 1.2 Revotron XZA,2019,€ 350000,15000
3149,Maruti Vitara Brezza ZDi,2018,€ 800000,50000
3152,Maruti Swift VXI BSIII,2011,€ 250000,70000
3155,Maruti Swift VXI BSIV,2019,€ 600000,10000
3158,Maruti Swift VDI BSIV,2017,€ 600000,90000
3161,Maruti Alto 800 LXI,2016,€ 130000,40000
3164,Maruti Wagon R LXI,2006,€ 90000,62009
3167,Hyundai i20 Active 1.2 S,2017,€ 595000,33100
3170,Hyundai EON Era Plus,2014,€ 190000,40000
3173,Hyundai Santro GLS I - Euro I,1999,€ 50000,120000
3176,Maruti Wagon R LXI Minor,2007,€ 95000,80000
3179,Tata Safari Storme VX,2016,€ 1000000,70000
3182,Mahindra Scorpio REV 116,2006,€ 220000,220000
3185,Mahindra Bolero SLX,2010,€ 400000,50000
3188,Datsun GO Plus A,2015,€ 315000,45000
3191,Toyota Fortuner 4x4 MT,2014,€ 1000000,110000
3194,Ford Ecosport 1.5 DV5 MT Titanium,2014,€ 500000,49000
3197,Mahindra XUV500 W11 AT BSIV,2018,€ 1600000,35000
3200,Mahindra Supro VX 8 Str,2017,€ 500000,160000
3203,Maruti Alto LX,2007,€ 70000,180000
3206,Maruti 800 AC,2007,€ 105000,60000
3209,Ford Endeavour 2.5L 4X2 MT,2008,€ 400000,110000
3212,Maruti Wagon R LXI,2004,€ 80000,60000
3215,Maruti Alto 800 VXI,2016,€ 300000,30000
3218,Mahindra KUV 100 D75 K2,2017,€ 409999,40000
3221,Maruti Swift Glam,2009,€ 250000,70000
3224,Tata New Safari DICOR 2.2 EX 4x2,2010,€ 250000,120000
3227,Maruti Swift Dzire VDI,2012,€ 215000,80000
3230,Toyota Fortuner 4x4 MT,2015,€ 1400000,120000
3233,Honda Brio 1.2 VX MT,2018,€ 475000,20000
3236,Honda Brio 1.2 VX MT,2018,€ 475000,22000
3239,Chevrolet Spark 1.0 LS,2008,€ 75000,35000
3242,Chevrolet Sail Hatchback LS ABS,2013,€ 200000,120000
3245,Tata Tiago NRG Petrol,2019,€ 575000,8000
3248,Maruti Ritz VDi,2011,€ 150000,40000
3251,Maruti Vitara Brezza ZDi Plus,2018,€ 850000,10000
3254,Hyundai Santro Era,2019,€ 350000,30000
3257,Ford Endeavour 2.5L 4X2 MT,2011,€ 550000,54000
3260,Hyundai Verna 1.4 VTVT,2017,€ 330000,80577
3263,Honda City i-DTEC V,2017,€ 1044999,25000
3266,Hyundai Verna 1.6 CRDI,2011,€ 300000,127500
3269,Hyundai EON D Lite Plus,2015,€ 235000,40903
3272,Ford Figo Petrol Titanium,2011,€ 120000,60000
3275,Maruti Wagon R VXI,2004,€ 130000,46000
3278,Ford Endeavour 4x4 XLT,2004,€ 275000,22288
3281,Volkswagen Jetta 2.0 TDI Trendline,2011,€ 0,180000
3284,Volkswagen Polo 1.5 TDI Highline,2015,€ 500000,30000
3287,Hyundai Grand i10 Sportz,2015,€ 400000,61690
3290,Hyundai i20 Asta 1.2,2015,€ 600000,64484
3293,Audi Q5 2.0 TDI,2012,€ 1350000,90000
