ID,name,fuel,seller_type,transmission,owner
2105,Audi A6 2.0 TDI  Design Edition,Diesel,Dealer,Automatic,First Owner
2108,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Diesel,Dealer,Automatic,Second Owner
2111,Skoda Superb Ambition 2.0 TDI CR AT,Diesel,Dealer,Automatic,Second Owner
2114,Toyota Corolla Altis G AT,Petrol,Individual,Automatic,First Owner
2117,Toyota Innova 2.5 G (Diesel) 7 Seater,Diesel,Individual,Manual,First Owner
2120,Jeep Compass 1.4 Sport Plus BSIV,Petrol,Individual,Manual,First Owner
2123,Mercedes-Benz E-Class E 200 CGI Elegance,Petrol,Dealer,Automatic,First Owner
2126,Hyundai i10 Magna 1.1L,Petrol,Individual,Manual,Fourth & Above Owner
2129,BMW 3 Series 320d Sport Line,Diesel,Dealer,Automatic,Second Owner
2132,Audi Q7 35 TDI Quattro Premium,Diesel,Dealer,Automatic,Third Owner
2135,Hyundai Elantra CRDi S,Diesel,Individual,Manual,First Owner
2138,Mahindra Scorpio 1.99 S10,Diesel,Individual,Manual,First Owner
2141,Honda City i DTEC V,Diesel,Individual,Manual,Second Owner
2144,Maruti Wagon R VXI BS IV with ABS,Petrol,Individual,Manual,Second Owner
2147,Maruti Wagon R VXI BS IV,Petrol,Individual,Manual,Second Owner
2150,Mahindra Scorpio LX,Diesel,Individual,Manual,Second Owner
2153,Hyundai Santro Xing GLS,Petrol,Individual,Manual,Third Owner
2156,Hyundai Grand i10 1.2 Kappa Asta,Petrol,Individual,Manual,First Owner
2159,Maruti Alto LXi,Petrol,Individual,Manual,First Owner
2162,Maruti Swift Dzire VDI Optional,Diesel,Dealer,Manual,First Owner
2165,Maruti Eeco 5 Seater AC BSIV,Petrol,Dealer,Manual,First Owner
2168,Hyundai i20 Sportz 1.4 CRDi,Diesel,Dealer,Manual,First Owner
2171,Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,Petrol,Dealer,Manual,First Owner
2174,Maruti Swift ZDi BSIV,Diesel,Dealer,Manual,First Owner
2177,Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,Diesel,Dealer,Manual,First Owner
2180,Maruti Alto LXi,Petrol,Individual,Manual,Second Owner
2183,Mahindra Jeep CL 500 MDI,Diesel,Individual,Manual,Second Owner
2186,Honda City i DTEC VX,Diesel,Dealer,Manual,First Owner
2189,Maruti Wagon R VXI BS IV,Petrol,Dealer,Manual,First Owner
2192,Tata Indica DLS,Diesel,Individual,Manual,First Owner
2195,Hyundai EON Magna Plus,Petrol,Dealer,Manual,Second Owner
2198,Toyota Etios GD,Diesel,Dealer,Manual,First Owner
2201,Maruti Alto LXi,Petrol,Dealer,Manual,Second Owner
2204,Maruti Alto LXi,Petrol,Individual,Manual,First Owner
2207,Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,Diesel,Individual,Manual,Second Owner
2210,Toyota Corolla Altis Diesel D4DG,Diesel,Individual,Manual,First Owner
2213,Mahindra Scorpio 1.99 S6 Plus,Diesel,Individual,Manual,First Owner
2216,Hyundai EON Magna Plus,Petrol,Individual,Manual,First Owner
2219,Tata Indigo Classic Dicor,Diesel,Individual,Manual,First Owner
2222,Toyota Innova 2.5 V Diesel 8-seater,Diesel,Individual,Manual,Third Owner
2225,Tata Indica Vista Quadrajet LS,Diesel,Individual,Manual,Fourth & Above Owner
2228,Maruti Swift 1.3 VXi,Petrol,Individual,Manual,Third Owner
2231,Ford EcoSport 1.5 Diesel Titanium BSIV,Diesel,Individual,Manual,First Owner
2234,Maruti Ciaz 1.3 Delta,Diesel,Individual,Manual,First Owner
2237,Honda Civic 1.8 V AT,Petrol,Individual,Automatic,Second Owner
2240,Hyundai i10 Sportz 1.2,Petrol,Individual,Manual,Second Owner
2243,Skoda Rapid 1.5 TDI Elegance,Diesel,Individual,Manual,Second Owner
2246,Hyundai Getz GLS,Petrol,Individual,Manual,Third Owner
2249,Nissan Terrano XL,Petrol,Individual,Manual,Second Owner
2252,Hyundai Grand i10 CRDi Sportz,Diesel,Individual,Manual,First Owner
2255,Hyundai Elite i20 Diesel Era,Diesel,Individual,Manual,First Owner
2258,Honda Amaze S i-VTEC,Petrol,Dealer,Manual,First Owner
2261,Honda Brio S MT,Petrol,Dealer,Manual,First Owner
2264,Hyundai Creta 1.6 SX Option,Petrol,Dealer,Manual,First Owner
2267,Mercedes-Benz S-Class S 350d Connoisseurs Edition,Diesel,Dealer,Automatic,First Owner
2270,Mahindra XUV500 W8 2WD,Diesel,Individual,Manual,First Owner
2273,Renault Duster 85PS Diesel RxL Optional,Diesel,Individual,Manual,First Owner
2276,Hyundai Santro Xing XO,Petrol,Dealer,Manual,Second Owner
2279,Mahindra Bolero 2011-2019 SLE,Diesel,Dealer,Manual,First Owner
2282,Audi A6 2.0 TDI Premium Plus,Diesel,Dealer,Automatic,Second Owner
2285,Fiat Avventura MULTIJET Emotion,Diesel,Individual,Manual,Second Owner
2288,Audi A8 4.2 TDI,Diesel,Dealer,Automatic,First Owner
2291,Datsun RediGO 1.0 S,Petrol,Dealer,Manual,Second Owner
2294,Volkswagen Jetta 1.4 TSI Comfortline,Petrol,Individual,Manual,First Owner
2297,Audi A4 2.0 TDI 177 Bhp Premium Plus,Diesel,Dealer,Automatic,First Owner
2300,Honda Civic 1.8 V AT,Petrol,Dealer,Automatic,First Owner
2303,Mercedes-Benz E-Class Exclusive E 200 BSIV,Petrol,Dealer,Automatic,First Owner
2306,BMW X1 sDrive 20d xLine,Diesel,Individual,Automatic,First Owner
2309,Volvo V40 D3 R Design,Diesel,Dealer,Automatic,First Owner
2312,Maruti SX4 Zxi BSIII,Petrol,Dealer,Manual,First Owner
2315,BMW 7 Series 730Ld,Diesel,Dealer,Automatic,First Owner
2318,Mahindra Bolero Power Plus SLX,Diesel,Individual,Manual,First Owner
2321,Hyundai Sonata CRDi M/T,Diesel,Individual,Manual,First Owner
2324,Nissan Micra Active XV Petrol,Petrol,Individual,Manual,First Owner
2327,Mahindra Xylo D4,Diesel,Individual,Manual,First Owner
2330,Hyundai Elite i20 Sportz Plus Dual Tone BSIV,Petrol,Individual,Manual,First Owner
2333,Renault KWID RXT,Petrol,Individual,Manual,First Owner
2336,Mahindra Xylo E4 BS III,Diesel,Individual,Manual,First Owner
2339,Maruti Wagon R LXI Minor,Petrol,Individual,Manual,Fourth & Above Owner
2342,Maruti SX4 ZXI MT BSIV,Petrol,Individual,Manual,Third Owner
2345,Renault KWID RXT,Petrol,Individual,Manual,First Owner
2348,Hyundai Creta 1.4 CRDi S,Diesel,Individual,Manual,First Owner
2351,Maruti Swift Dzire VDI,Diesel,Individual,Manual,Second Owner
2354,Hyundai Verna 1.6 VTVT AT S Option,Petrol,Individual,Automatic,First Owner
2357,Mahindra Scorpio LX BSIV,Diesel,Individual,Manual,Second Owner
2360,Maruti SX4 Vxi BSIII,Petrol,Individual,Manual,Second Owner
2363,Maruti Ertiga VDI,Diesel,Individual,Manual,Second Owner
2366,Chevrolet Beat Diesel,Diesel,Individual,Manual,Second Owner
2369,Maruti Zen LX,Petrol,Individual,Manual,First Owner
2372,Maruti Baleno Delta 1.2,Petrol,Individual,Manual,First Owner
2375,Maruti Swift Vdi BSIII,Diesel,Individual,Manual,Fourth & Above Owner
2378,Tata Nano Lx BSIV,Petrol,Individual,Manual,Second Owner
2381,Toyota Innova 2.5 GX (Diesel) 8 Seater,Diesel,Individual,Manual,First Owner
2384,Maruti Ertiga SHVS VDI,Diesel,Individual,Manual,Second Owner
2387,Hyundai Creta 1.6 CRDi SX,Diesel,Individual,Manual,Second Owner
2390,Honda Amaze S i-Vtech,Petrol,Individual,Manual,First Owner
2393,Tata Indica Vista Aqua 1.4 TDI,Diesel,Individual,Manual,Second Owner
2396,Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,Diesel,Individual,Manual,Third Owner
2399,Chevrolet Cruze LTZ,Diesel,Dealer,Manual,First Owner
2402,Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,Petrol,Dealer,Manual,First Owner
2405,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,Diesel,Dealer,Manual,First Owner
2408,Hyundai i10 Sportz 1.1L,Petrol,Individual,Manual,First Owner
2411,Maruti 800 Std,Petrol,Individual,Manual,Fourth & Above Owner
2414,Chevrolet Spark 1.0 LS,Petrol,Individual,Manual,First Owner
2417,Hyundai EON Era Plus,Petrol,Individual,Manual,First Owner
2420,Tata Indica Vista Aqua TDI BSIII,Diesel,Individual,Manual,First Owner
2423,Hyundai Santro LP zipPlus,Petrol,Individual,Manual,First Owner
2426,Tata Bolt Quadrajet XE,Diesel,Individual,Manual,First Owner
2429,Maruti 800 AC BSIII,Petrol,Individual,Manual,First Owner
2432,Hyundai EON Era Plus,Petrol,Individual,Manual,Second Owner
2435,Hyundai i20 Magna 1.2,Petrol,Individual,Manual,First Owner
2438,Hyundai i20 1.2 Asta,Petrol,Individual,Manual,First Owner
2441,Maruti Ciaz VDi Plus,Diesel,Individual,Manual,First Owner
2444,Hyundai i20 Asta 1.4 CRDi,Diesel,Individual,Manual,First Owner
2447,Hyundai Santro LE,Petrol,Individual,Manual,First Owner
2450,Maruti Vitara Brezza VDi,Diesel,Individual,Manual,First Owner
2453,Hyundai Santro Xing XL eRLX Euro III,Petrol,Individual,Manual,Second Owner
2456,Hyundai Getz 1.3 GLS,Petrol,Individual,Manual,First Owner
2459,Mahindra Quanto C8,Diesel,Individual,Manual,Second Owner
2462,Chevrolet Tavera Neo 3 LS 7 C BSIII,Diesel,Individual,Manual,First Owner
2465,Hyundai EON Magna Plus,Petrol,Individual,Manual,First Owner
2468,Renault KWID RXT,Petrol,Individual,Manual,First Owner
2471,Maruti Wagon R DUO LPG,LPG,Individual,Manual,First Owner
2474,Maruti Wagon R LXI,Petrol,Individual,Manual,First Owner
2477,Chevrolet Enjoy 1.3 TCDi LS 8,Diesel,Individual,Manual,First Owner
2480,Chevrolet Spark 1.0 LS,Petrol,Individual,Manual,Third Owner
2483,Honda City i VTEC SV,Petrol,Individual,Manual,First Owner
2486,Honda Amaze VX i-DTEC,Diesel,Individual,Manual,First Owner
2489,Jaguar XJ 5.0 L V8 Supercharged,Petrol,Individual,Automatic,Second Owner
2492,Honda Brio E MT,Petrol,Individual,Manual,Second Owner
2495,Maruti Swift VVT ZXI,Petrol,Individual,Manual,First Owner
2498,Tata Indigo CR4,Diesel,Individual,Manual,First Owner
2501,Hyundai i10 Asta AT,Petrol,Individual,Automatic,Second Owner
2504,Chevrolet Beat LT,Petrol,Individual,Manual,First Owner
2507,Maruti Swift VDI BSIV,Diesel,Individual,Manual,Third Owner
2510,Maruti Alto LXi,Petrol,Individual,Manual,Third Owner
2513,Chevrolet Beat LT,Petrol,Individual,Manual,Second Owner
2516,Renault Duster 110PS Diesel RxZ,Diesel,Individual,Manual,Second Owner
2519,Hyundai Santro Xing XG,Petrol,Individual,Manual,Third Owner
2522,Maruti Swift Dzire ZXI Plus,Petrol,Individual,Manual,First Owner
2525,Maruti 800 AC,Petrol,Individual,Manual,Second Owner
2528,Maruti Alto K10 LXI CNG,CNG,Individual,Manual,First Owner
2531,Maruti 800 Std BSII,Petrol,Individual,Manual,Second Owner
2534,Tata Nano LX SE,Petrol,Individual,Manual,First Owner
2537,Hyundai i20 Magna 1.2,Petrol,Individual,Manual,First Owner
2540,Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,Petrol,Individual,Manual,First Owner
2543,Maruti Alto K10 VXI,Petrol,Individual,Manual,First Owner
2546,Maruti Ciaz 1.4 Delta,Petrol,Individual,Manual,First Owner
2549,Maruti Alto LX,Petrol,Individual,Manual,Second Owner
2552,Hyundai i20 Asta,Petrol,Individual,Manual,Second Owner
2555,Tata Nexon 1.2 Revotron XM,Petrol,Individual,Manual,First Owner
2558,Mahindra Bolero Power Plus SLX,Diesel,Individual,Manual,First Owner
2561,Maruti Zen D,Diesel,Individual,Manual,Second Owner
2564,Volkswagen Vento Celeste 1.5 TDI Highline AT,Diesel,Individual,Automatic,First Owner
2567,Maruti Eeco 7 Seater Standard BSIV,Petrol,Individual,Manual,First Owner
2570,Honda City 1.5 EXI,Petrol,Individual,Manual,Second Owner
2573,Mercedes-Benz New C-Class 220 CDI AT,Diesel,Individual,Automatic,First Owner
2576,Maruti SX4 Zxi with Leather BSIII,Petrol,Individual,Manual,First Owner
2579,Renault Duster 110PS Diesel RxZ,Diesel,Individual,Manual,Second Owner
2582,Ford Figo Diesel Titanium,Diesel,Individual,Manual,Third Owner
2585,Ford Figo Diesel Titanium,Diesel,Individual,Manual,Third Owner
2588,Maruti Swift Dzire VDi,Diesel,Individual,Manual,Third Owner
2591,Mahindra Xylo E4,Diesel,Individual,Manual,Third Owner
2594,Maruti Esteem Vxi - BSIII,Petrol,Individual,Manual,Third Owner
2597,Maruti Swift VDI BSIV,Diesel,Individual,Manual,First Owner
2600,Hyundai i20 1.2 Sportz,Petrol,Individual,Manual,Third Owner
2603,Chevrolet Beat Diesel LT,Diesel,Individual,Manual,First Owner
2606,Chevrolet Cruze LTZ AT,Diesel,Individual,Automatic,First Owner
2609,Nissan Micra XL,Petrol,Individual,Manual,Second Owner
2612,BMW 5 Series 520d Luxury Line,Diesel,Individual,Automatic,First Owner
2615,Chevrolet Enjoy 1.3 TCDi LS 8,Diesel,Dealer,Manual,First Owner
2618,Hyundai EON Era Plus Option,Petrol,Dealer,Manual,First Owner
2621,Fiat Linea T Jet Emotion,Petrol,Dealer,Manual,First Owner
2624,Renault Scala RxL,Petrol,Dealer,Manual,First Owner
2627,Ford Figo Petrol Titanium,Petrol,Dealer,Manual,First Owner
2630,Maruti Ciaz ZDi SHVS,Diesel,Individual,Manual,First Owner
2633,Skoda Rapid 1.5 TDI Ambition BSIV,Diesel,Dealer,Manual,First Owner
2636,Mahindra XUV500 W6 2WD,Diesel,Individual,Manual,First Owner
2639,Mahindra XUV300 W8 Option,Petrol,Dealer,Manual,First Owner
2642,Maruti Ertiga SHVS ZDI,Diesel,Individual,Manual,Second Owner
2645,Nissan Terrano XE D,Diesel,Dealer,Manual,First Owner
2648,Maruti S-Cross Facelift,Diesel,Individual,Manual,First Owner
2651,Hyundai i20 Magna 1.4 CRDi (Diesel),Diesel,Dealer,Manual,First Owner
2654,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Diesel,Individual,Automatic,First Owner
2657,Hyundai EON Era Plus,Petrol,Dealer,Manual,First Owner
2660,Volkswagen Ameo 1.5 TDI Highline,Diesel,Dealer,Manual,First Owner
2663,Maruti Alto LX,Petrol,Individual,Manual,Third Owner
2666,Maruti Omni LPG CARGO BSIII W IMMOBILISER,LPG,Individual,Manual,Second Owner
2669,Maruti Alto LX,Petrol,Individual,Manual,Second Owner
2672,Hyundai Verna i (Petrol),Petrol,Individual,Manual,Second Owner
2675,Mahindra Renault Logan 1.5 DLS,Diesel,Individual,Manual,First Owner
2678,Chevrolet Optra Magnum 2.0 LS BSIII,Diesel,Individual,Manual,First Owner
2681,Mahindra Scorpio S11 BSIV,Diesel,Individual,Manual,First Owner
2684,Hyundai i20 Active 1.2 SX,Petrol,Individual,Manual,First Owner
2687,Maruti SX4 Celebration Diesel,Diesel,Individual,Manual,Second Owner
2690,Hyundai Grand i10 Magna,Petrol,Individual,Manual,First Owner
2693,Maruti Alto LXi BSIII,Petrol,Individual,Manual,First Owner
2696,Maruti SX4 Zxi with Leather BSIII,Petrol,Individual,Manual,Second Owner
2699,Hyundai i10 Era,Petrol,Individual,Manual,Second Owner
2702,Toyota Innova 2.5 V Diesel 7-seater,Diesel,Individual,Manual,Second Owner
2705,Honda Mobilio V i DTEC,Diesel,Individual,Manual,First Owner
2708,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Diesel,Individual,Manual,Fourth & Above Owner
2711,Tata Indica V2 2001-2011 DLS BSIII,Diesel,Dealer,Manual,First Owner
2714,Tata Indica Vista TDI LS,Diesel,Individual,Manual,Second Owner
2717,Chevrolet Beat Diesel LS,Diesel,Individual,Manual,Second Owner
2720,Tata Zest Quadrajet 1.3 75PS XE,Diesel,Dealer,Manual,First Owner
2723,Skoda Fabia 1.2L Diesel Ambiente,Diesel,Dealer,Manual,Second Owner
2726,Maruti 800 Std,Petrol,Individual,Manual,First Owner
2729,Ford Figo Petrol Titanium,Petrol,Individual,Manual,Second Owner
2732,Toyota Innova 2.5 VX (Diesel) 8 Seater,Diesel,Individual,Manual,First Owner
2735,Honda Mobilio V i DTEC,Diesel,Individual,Manual,First Owner
2738,Hyundai Grand i10 1.2 CRDi Asta,Diesel,Individual,Manual,First Owner
2741,Chevrolet Beat Diesel LT,Diesel,Individual,Manual,Second Owner
2744,Datsun GO Plus T Option Petrol,Petrol,Individual,Manual,First Owner
2747,Hyundai Grand i10 1.2 Kappa Asta,Petrol,Individual,Manual,First Owner
2750,Maruti Omni MPI STD BSIV,Petrol,Individual,Manual,First Owner
2753,Maruti Baleno Alpha 1.2,Petrol,Dealer,Manual,First Owner
2756,Ford Fiesta Classic 1.4 SXI Duratorq,Diesel,Individual,Manual,Third Owner
2759,Hyundai Elite i20 Asta Option BSIV,Petrol,Individual,Manual,First Owner
2762,Hyundai Grand i10 CRDi Magna,Diesel,Dealer,Manual,First Owner
2765,Maruti Ertiga SHVS ZDI,Diesel,Dealer,Manual,First Owner
2768,Hyundai Santro Xing GL Plus,Petrol,Individual,Manual,First Owner
2771,Tata Sumo GX TC 7 Str BSIII,Diesel,Individual,Manual,Second Owner
2774,Renault KWID RXT,Petrol,Individual,Manual,First Owner
2777,Maruti 800 AC,Petrol,Individual,Manual,Second Owner
2780,Maruti Vitara Brezza LDi Option,Diesel,Dealer,Manual,First Owner
2783,Honda Jazz S,Petrol,Individual,Manual,First Owner
2786,Hyundai i20 1.4 Sportz,Diesel,Dealer,Manual,First Owner
2789,Maruti Ertiga SHVS ZDI Plus,Diesel,Individual,Manual,Second Owner
2792,Tata Sumo SE Plus BSIII,Diesel,Individual,Manual,First Owner
2795,Mahindra Xylo E4,Diesel,Individual,Manual,First Owner
2798,Maruti Swift ZDi BSIV,Diesel,Individual,Manual,First Owner
2801,Maruti Ertiga VXI,Petrol,Individual,Manual,First Owner
2804,Hyundai i20 1.4 Magna ABS,Diesel,Individual,Manual,Second Owner
2807,Maruti Alto LXi,Petrol,Individual,Manual,First Owner
2810,Maruti Alto LXi,Petrol,Individual,Manual,Second Owner
2813,Hyundai Getz GL,Petrol,Individual,Manual,Third Owner
2816,Maruti Wagon R LX BS IV,Petrol,Individual,Manual,First Owner
2819,Mahindra Bolero Power Plus SLX,Diesel,Individual,Manual,First Owner
2822,Hyundai i20 1.2 Spotz,Petrol,Individual,Manual,Second Owner
2825,Maruti Wagon R LXI Minor,Petrol,Individual,Manual,Second Owner
2828,Maruti Alto 800 VXI,Petrol,Individual,Manual,First Owner
2831,Hyundai i20 Asta (o),Petrol,Individual,Manual,First Owner
2834,Hyundai i20 Asta,Petrol,Individual,Manual,Second Owner
2837,Hyundai Verna 1.6 SX CRDi (O),Diesel,Individual,Manual,First Owner
2840,Mahindra Xylo D2 BSIV,Diesel,Individual,Manual,First Owner
2843,Mahindra Bolero SLX 2WD BSIII,Diesel,Individual,Manual,Second Owner
2846,Maruti Ertiga VXI ABS,Petrol,Individual,Manual,First Owner
2849,Honda Brio 1.2 E MT,Petrol,Individual,Manual,First Owner
2852,Toyota Etios Liva G,Petrol,Individual,Manual,Second Owner
2855,Maruti Alto 800 LXI,Petrol,Individual,Manual,First Owner
2858,Maruti Swift Dzire 1.2 Vxi BSIV,Petrol,Individual,Manual,Second Owner
2861,Mahindra Scorpio VLS AT 2.2 mHAWK,Diesel,Individual,Automatic,Second Owner
2864,Mahindra Bolero SLX,Diesel,Individual,Manual,Second Owner
2867,Mahindra XUV500 W11 Option AWD,Diesel,Dealer,Manual,First Owner
2870,Tata Tiago 1.2 Revotron XZ,Petrol,Individual,Manual,First Owner
2873,Mahindra Marazzo M8 8Str,Diesel,Individual,Manual,First Owner
2876,Renault Duster 110PS Diesel RxL,Diesel,Individual,Manual,First Owner
2879,Hyundai EON Magna Plus,Petrol,Individual,Manual,First Owner
2882,Maruti Wagon R VXI,Petrol,Dealer,Manual,First Owner
2885,Chevrolet Spark 1.0 LT,Petrol,Individual,Manual,First Owner
2888,Maruti Baleno Alpha,Petrol,Individual,Manual,First Owner
2891,Hyundai EON 1.0 Kappa Magna Plus,Petrol,Individual,Manual,First Owner
2894,Ford Figo Aspire 1.2 Ti-VCT Trend,Petrol,Dealer,Manual,First Owner
2897,Ford Figo Aspire Facelift,Diesel,Dealer,Manual,First Owner
2900,Hyundai i10 Era,Petrol,Individual,Manual,First Owner
2903,Mahindra Bolero SLX,Diesel,Dealer,Manual,First Owner
2906,Hyundai Verna 1.4 VTVT,Petrol,Individual,Manual,First Owner
2909,Chevrolet Sail 1.2 LT ABS,Petrol,Individual,Manual,First Owner
2912,Honda City i-DTEC SV,Diesel,Dealer,Manual,First Owner
2915,Hyundai Grand i10 1.2 Kappa Asta,Petrol,Individual,Manual,First Owner
2918,Mahindra Bolero Power Plus Plus AC BSIV PS,Diesel,Individual,Manual,First Owner
2921,Hyundai Grand i10 1.2 Kappa Sportz Option,Petrol,Dealer,Manual,First Owner
2924,Maruti Baleno Sigma 1.2,Petrol,Individual,Manual,First Owner
2927,Tata Tiago 1.2 Revotron XZ,Petrol,Individual,Manual,First Owner
2930,Maruti Wagon R LXI,Petrol,Individual,Manual,Second Owner
2933,Chevrolet Beat Diesel LS,Diesel,Individual,Manual,First Owner
2936,Maruti A-Star Vxi,Petrol,Individual,Manual,First Owner
2939,Datsun GO A,Petrol,Individual,Manual,Second Owner
2942,Skoda Yeti Ambition 4WD,Diesel,Individual,Manual,First Owner
2945,Maruti Zen LXi BSII,Petrol,Individual,Manual,Second Owner
2948,Hyundai Verna CRDi 1.6 EX,Diesel,Individual,Manual,First Owner
2951,Ford Aspire Titanium Diesel BSIV,Diesel,Dealer,Manual,First Owner
2954,BMW 3 Series 320d Sport,Diesel,Dealer,Automatic,First Owner
2957,Maruti Ertiga SHVS ZDI Plus,Diesel,Individual,Manual,First Owner
2960,BMW X1 sDrive 20d Exclusive,Diesel,Individual,Automatic,First Owner
2963,Toyota Innova Crysta 2.4 VX MT,Diesel,Dealer,Manual,First Owner
2966,Chevrolet Tavera Neo 3 10 Seats BSIV,Diesel,Individual,Manual,Third Owner
2969,Mitsubishi Outlander 2.4,Petrol,Individual,Automatic,First Owner
2972,Mahindra XUV500 W8 2WD,Diesel,Dealer,Manual,First Owner
2975,Maruti Baleno Alpha 1.3,Diesel,Individual,Manual,First Owner
2978,Ford Figo Aspire 1.5 TDCi Titanium,Diesel,Dealer,Manual,First Owner
2981,Maruti Swift Dzire VDI,Diesel,Individual,Manual,First Owner
2984,Hyundai i20 1.2 Spotz,Petrol,Individual,Manual,Second Owner
2987,Renault Duster 110PS Diesel RxZ,Diesel,Individual,Manual,Second Owner
2990,Maruti Swift Vdi BSIII,Diesel,Individual,Manual,Third Owner
2993,Ford Endeavour Titanium 4X2,Diesel,Dealer,Manual,Second Owner
2996,Mahindra Scorpio 2.6 Turbo 9 Str,Diesel,Individual,Manual,Third Owner
2999,Maruti Baleno Vxi,Petrol,Individual,Manual,Third Owner
3002,Tata Indica DLX,Diesel,Individual,Manual,Second Owner
3005,Hyundai Verna CRDi 1.6 EX,Diesel,Individual,Manual,First Owner
3008,Maruti Wagon R VXI BS IV,Petrol,Individual,Manual,Second Owner
3011,Tata Indica LSI,Petrol,Individual,Manual,First Owner
3014,Maruti Swift Dzire VDI,Diesel,Individual,Manual,Second Owner
3017,Toyota Etios Liva GD,Diesel,Individual,Manual,Second Owner
3020,Tata Nano STD,Petrol,Individual,Manual,Fourth & Above Owner
3023,Hyundai Grand i10 Sportz,Petrol,Individual,Manual,First Owner
3026,Hyundai Grand i10 1.2 CRDi Asta,Diesel,Individual,Manual,First Owner
3029,Maruti Ertiga SHVS VDI,Diesel,Individual,Manual,First Owner
3032,Mahindra Bolero SLX,Diesel,Individual,Manual,Third Owner
3035,Mahindra Scorpio S7 140 BSIV,Diesel,Individual,Manual,First Owner
3038,Volkswagen Polo Petrol Comfortline 1.2L,Petrol,Individual,Manual,First Owner
3041,Hyundai Xcent 1.1 CRDi Base,Diesel,Individual,Manual,Second Owner
3044,Chevrolet Beat Diesel PS,Diesel,Dealer,Manual,First Owner
3047,Maruti Swift ZXi BSIV,Petrol,Dealer,Manual,First Owner
3050,Maruti Ritz VDi,Diesel,Dealer,Manual,First Owner
3053,Tata Indigo CS Emax CNG GLX,CNG,Dealer,Manual,First Owner
3056,Maruti Eeco 5 STR With AC Plus HTR CNG,CNG,Dealer,Manual,First Owner
3059,Maruti Estilo LXI,Petrol,Dealer,Manual,First Owner
3062,Maruti Swift VXI with ABS,Petrol,Individual,Manual,Second Owner
3065,Tata Zest Quadrajet 1.3 XM,Diesel,Individual,Manual,First Owner
3068,Maruti Swift VDI BSIV,Diesel,Individual,Manual,First Owner
